keys,zh_CN
message.survivor.recruited,%s 已加入队伍。
message.survivor.upgraded,%s 升至 Lv%d。
message.survivor.lineup_updated,出战编队已更新。
message.exploration.arrived_rescue,已抵达%s：发现了等待救援的 %s。
data.encounter.rescue_marin.name,漂流的海员
data.encounter.rescue_marin.description,一名海员正抓着破损的救生圈等待援手。
data.encounter.rescue_yue.name,迷雾中的信号
data.encounter.rescue_yue.description,雾中传来有节奏的求救哨声。
data.encounter.rescue_bo.name,浅滩求生者
data.encounter.rescue_bo.description,一位医护人员在浅滩的浮木旁等待救援。
data.encounter.rescue_su.name,远处的求救火光
data.encounter.rescue_su.description,漂流木筏上的火光指引你靠近。
data.survivor.marin.name,马林
data.survivor.marin.description,经验丰富的甲板水手，擅长用锚链制造破绽。
data.survivor.yue.name,岳岚
data.survivor.yue.description,沉着的船体维修师，能在混战中守住阵线。
data.survivor.bo.name,阿波
data.survivor.bo.description,曾任海上急救员，总能让队伍重新振作。
data.survivor.su.name,苏澈
data.survivor.su.description,敏捷的渔猎人，出手时机极其精准。
data.skill.anchor_strike.name,锚击
data.skill.anchor_strike.description,以沉重锚链压制敌人；战斗效果将在 S6 接入。
data.skill.tide_guard.name,潮汐守卫
data.skill.tide_guard.description,以稳固姿态保护队伍；战斗效果将在 S6 接入。
data.skill.first_aid.name,紧急包扎
data.skill.first_aid.description,快速处理伤口；战斗效果将在 S6 接入。
data.skill.harpoon_throw.name,鱼叉投掷
data.skill.harpoon_throw.description,瞄准破绽投出鱼叉；战斗效果将在 S6 接入。
ui.survivor.challenge_boss,挑战教学 Boss
ui.battle.title,教学 Boss 战
ui.battle.normal_attack,普通攻击
ui.battle.use_skill,使用 %s
ui.battle.return,返回竹筏
ui.battle.status,%s\nBoss：%d / %d\n回合：%d
ui.battle.party_member,%s：%d / %d
data.boss.tutorial_sea_beast.name,礁海巨兽
data.boss.tutorial_sea_beast.description,盘踞在起航海域边缘的巨兽，适合检验基础战斗技巧。
message.session.start_before_battle,请先开始游戏再进入战斗。
message.battle.state_unavailable,战斗状态不可用。
message.battle.already_active,已有一场战斗正在进行。
message.battle.unavailable,该 Boss 不可用。
message.battle.lineup_required,请先安排至少一名已招募伙伴出战。
message.battle.started,已向 %s 发起挑战。
message.battle.not_active,当前没有进行中的战斗。
message.battle.invalid_actor,该伙伴无法执行本次行动。
message.battle.actor_defeated,该伙伴已失去行动能力。
message.battle.skill_cooldown,技能尚在冷却中。
message.battle.not_completed,战斗尚未结束。
message.battle.returned,已返回竹筏。
message.battle.actor_attacked,%s 使用%s造成 %d 点伤害。
message.battle.actor_healed,%s 使用%s恢复 %d 点生命。
message.battle.boss_attacked,%s 攻击 %s，造成 %d 点伤害。
message.battle.boss_defeated,%s 使用%s造成 %d 点伤害并击败 Boss！
message.battle.victory,胜利！奖励、伙伴经验与耐久影响已结算。
message.battle.defeat,战斗失败。耐久影响已结算。
message.battle.settlement_failed,战斗奖励无法结算，请先腾出库存空间。
ui.build.facilities,船上设施
ui.build.facility_entry,%s  Lv%d
ui.build.upgrade_cost,升级至 Lv%d（%s）
ui.build.max_level,已满级
message.building.upgrade_unavailable,找不到要升级的设施。
message.building.max_level,该设施已达到最高等级。
message.building.insufficient_upgrade_resources,升级材料不足，继续探索海面收集资源吧。
message.building.upgraded,%s 已升级至 Lv%d。
ui.build.raft_no_session,竹筏等级：--
ui.build.raft_level,竹筏等级：Lv%d（甲板 %d×%d）
ui.build.raft_level_max,竹筏等级：Lv%d（甲板 %d×%d，已满级）
ui.build.upgrade_raft,扩建竹筏
ui.build.upgrade_raft_cost,扩建竹筏（%s）
ui.build.upgrade_raft_max,已满级
message.progression.raft_unavailable,竹筏成长数据不可用。
message.progression.max_level,竹筏已升至最高等级。
message.progression.insufficient_resources,木材不足，无法扩建竹筏。
message.progression.raft_upgraded,竹筏扩建至 Lv%d，甲板变为 %d×%d。
message.session.start_before_upgrading,请先开始游戏再扩建竹筏。
data.building.desalinator.name,海水淡化器
data.building.desalinator.description,将海水蒸馏成可饮用的淡水。
data.building.fishing_net.name,渔网
data.building.fishing_net.description,在竹筏边缘布网，自动捕获生鱼。
data.building.storage_rack.name,储物架
data.building.storage_rack.description,扩充木材与食物的存放空间。
data.recipe.desalinate.name,蒸馏海水
data.recipe.fish_net.name,收网捕鱼
data.boss.reef_leviathan.name,暗礁巨鳗
data.boss.reef_leviathan.description,潜伏在暗礁带的大型掠食者，需要更强的编队才能挑战。
ui.production.toggle_desalinator,启停淡化器
ui.production.toggle_fishing_net,启停渔网
ui.survivor.challenge_reef,挑战区域 Boss
ui.survivor.challenge_reef_locked,区域 Boss（竹筏 Lv2 解锁）
message.battle.boss_locked,尚未解锁该 Boss。
data.merchant.wandering.name,流浪商人
data.merchant.wandering.description,漂泊的货郎，用海货换取你需要的东西。
ui.merchant.title,%s
ui.merchant.offer,购买 %s×%d（%s）· 库存 %d
ui.merchant.empty,商人暂时没有货物。
ui.merchant.status_initial,商人靠岸了，看看有什么可以交换。
message.merchant.unavailable,商人数据不可用。
message.merchant.unknown_offer,商人没有这件货物。
message.merchant.insufficient_resources,交换材料不足。
message.merchant.inventory_full,背包已满，无法收纳货物。
message.merchant.out_of_stock,该货物已售罄。
message.merchant.purchased,购入 %d 份%s。
message.session.start_before_merchant,请先开始游戏再与商人交易。
data.quest.first_shelter.name,建造集雨器
data.quest.first_shelter.description,在竹筏上建造一座集雨器，开始收集淡水。
data.quest.first_drink.name,饮用第一份淡水
data.quest.first_drink.description,等待集雨器产出淡水后饮用一份，恢复补给。
data.quest.first_sail.name,驶向西部浅滩
data.quest.first_sail.description,建造船舵后探索相邻的西部浅滩海域。
data.quest.first_crew.name,救起一位伙伴
data.quest.first_crew.description,在航行中救起一位落难者并招募入队。
data.quest.first_expand.name,扩建竹筏
data.quest.first_expand.description,把竹筏扩建到 Lv2，获得更大的甲板。
data.quest.first_boss.name,击败教学 Boss
data.quest.first_boss.description,编队后击败礁海巨兽，检验你的战斗准备。
ui.goal.title,%s（%d/%d）
ui.goal.navigate,去完成
ui.goal.all_done,所有新手目标已完成，继续探索海面吧！
ui.goal.status_hint,当前只显示下一项主目标，可一键前往完成。
ui.goal.status_initial,开始游戏后显示新手目标。
ui.current_goal.initial,开始游戏后显示当前主目标。
ui.current_goal.complete,新手航程已完成
ui.current_goal.title,主目标：%s（%d/%d）
ui.current_goal.challenge,挑战 Boss
ui.quest_feedback.completed,%s 已完成！\n下一步：%s
ui.world_map.view_rescued_survivor,查看获救伙伴
ui.world_map.boss_threat,海图威胁：挑战%s
message.quest.unavailable,新手目标数据不可用。
